Winners,Rewards,Transferred
0x578a508Aa7744F5e2A65DBE049F1c658D6c17086,10 Base USDC,FALSE
0xB37403945e54cF0b44A62fD661c55a79fC6809bF,10 Base USDC,FALSE
0x8B2D84AbEa4De54c8dDa04537730948d51358788,10 Base USDC,FALSE
0xEdb2F96Ae2DdA042c2D1c23fBf9F883cEcF6a61e,10 Base USDC,FALSE
0xC7a7C38E5dCA5e25F5B6Dcdcc7814536e0d4DD2E,10 Base USDC,FALSE
0x0CBb5995Ea0C30A62F19BC055f9848250063d0C8,10 Base USDC,FALSE
0xDC2a82f1d03e6E6bBc9a05969c48122C274AAb82,10 Base USDC,FALSE
0x616cb8FE3BBC87377688a391B9022B52977565ac,10 Base USDC,FALSE
0xEFC40d2a2bDF6BC11a12588D254ccF129a7029Cf,10 Base USDC,FALSE
0xE64ab229AA57b44FD85f89286310Af15fAC7C067,10 Base USDC,FALSE
0x3a79262632AbD073bA445aefDAfF1a5488e20B70,10 Base USDC,FALSE
0x16ee80822e0ecA840Aa72a29740f494DE2474e21,10 Base USDC,FALSE
0x675C8640D78bE59b9810FA3fadeC49d6afC3bb26,10 Base USDC,FALSE
0xDD94c0b77130e25c1dbB8405633bca82aeed3c71,10 Base USDC,FALSE
0x7373A2ff9Fb363D729978F2a3668b1D0736f7806,10 Base USDC,FALSE
0xCE212ef34BE97a665B6dFEce89C0B0BC2071Cc4D,10 Base USDC,FALSE
0x0ec3e4004179dcF92077f1cd4459A22a4F6Ec360,10 Base USDC,FALSE
0xf5A153C88B9BD178e8550e657F2Cb231ff1A4C7E,10 Base USDC,FALSE
0x86976bCa3AC732c854d0E5F576e3a2E94d06C49A,10 Base USDC,FALSE
0xF175a079Ed90C3F52B0934cF71A72eca084eB94c,10 Base USDC,FALSE
0x7368B89C3e1EFd216EA271a0e1E1F0e0d7Df085b,10 Base USDC,FALSE
0xB5dc08eB13bb244C367B8df0B63615E69FaA70bC,10 Base USDC,FALSE
0xD0213bAA36742a316BF8f968282fd4D3Cd4f2CbB,10 Base USDC,FALSE
0x10034CD27ED599bB54870E84B4bf25B090ec6d2D,10 Base USDC,FALSE
0xa027d8d063237bAbFCcd82E0E9d4D97ff45b9321,10 Base USDC,FALSE
0x8262a5f75Ae441619FA20D9Fc4383F4fB8aa31dE,10 Base USDC,FALSE
0x695AF7ae0658618b1b7F5860914B97B9f3eb2c3b,10 Base USDC,FALSE
0xaaF0Ee32DC54d949B67392E639452a1EA1147714,10 Base USDC,FALSE
0x7023F5Fb2D4902D7b7d8e8867114756699650e7a,10 Base USDC,FALSE
0xc3d1a5393A3C4579cc0c6049393E9dEe68070e6C,10 Base USDC,FALSE
0x06d0f800D901c5E80E1A9975E5d806C6A191f761,10 Base USDC,FALSE
0x62e0Eba15bBFBF5E2657f58EE1e78cAeb47b74Cf,10 Base USDC,FALSE
0x56D8f04D0847e358375395d5D642F99F4e335673,10 Base USDC,FALSE
0x4c27FD5b258DcD1c090C9d7c0eE137c7f328B3dA,10 Base USDC,FALSE
0x6Cfbfa87cEc8d80660fAFC350b7FA7A54874a9b0,10 Base USDC,FALSE
0x99f3c441662314e9b3F6333290C2E0386cc04bDa,10 Base USDC,FALSE
0xccf87fFD94a91F38CEC84002a03754fB937905FB,10 Base USDC,FALSE
0x77CE700479226FdfE78d0131D307559d6470DF09,10 Base USDC,FALSE
0xD11B03BC8813C64374e634da6D1c794059c91a2B,10 Base USDC,FALSE
0x6A49054cB38378361fD1150F97680F270eFEA7C4,10 Base USDC,FALSE
0x67D53f19486e7De4beee45605997A67946c1E588,10 Base USDC,FALSE
